ridotti,1
giorgi,1
urbino,1
asolani,1
bembo,1
neqvali,1
moralissime,1
elegantissime,1
agostino,1
sessa,1
imagini,1
donne,1
avgvste,1
intagliate,1
istampa,1
manvale,1
penitenti,1
misvrar,1
vista,1
siluio,1
belli,1
vicentino,1
trauagliar,1
numeri,1
misurar,1
distantie,2
laltezze,1
profondità,1
quadrato,1
geometrico,1
stromenti,1
luogo,1
quasi,1
subito,1
prouedere,1
pratiche,1
prime,1
matematiche,1
cataneo,1
senese,1
ricorrette,1
meglio,1
ordinate,1
aggiontioni,1
diuise,1
legẽda,1
sancto,1
arcadia,1
petrarca,1
nvovamente,2
ridotto,1
vera,2
lettione,1
narratione,1
passate,1
bassi,1
dopò,1
giunta,2
sermo,1
davstria,1
luogotenente,1
gouernatore,1
generale,1
catholico,1
grandezza,1
givsto,1
lipsio,1
lib,1
giardino,1
delitioso,1
grazioso,1
convito,1
grazie,1
dellaltare,1
gleuangelii,1
ordini,3
institviti,1
sva,1
discepoli,1
compagni,1
lamentationi,1
gieremia,1
profeta,1
fatta,1
reuerendissimo,1
monsignore,1
panigarola,1
vescouo,1
crispoli,1
interrogatorio,1
semplici,1
oratorio,1
religiosi,1
essercitio,1
virtvosi,1
divota,2
dimesse,1
vivono,1
sotto,1
protettione,1
purissima,1
madre,2
santissima,1
madonna,1
rvffino,1
scacciotti,1
ventisette,1
alti,1
concetti,1
esponendosi,1
salvtatione,1
sinterpone,1
bellissima,1
occasione,1
altre,2
salue,1
regina,1
confutano,1
heresie,1
dechiaratione,1
hebrei,1
cabalisti,1
caldei,1
persi,1
pacifica,1
preclarissimo,1
poeta,1
miser,2
cõmenti,2
triumphi,1
soneti,1
canzone,2
historiate,1
corette,1
nicolo,1
perãzone,1
acute,1
excellente,1
additione,1
doi,1
dario,1
attendoli,1
avttorità,1
ristampato,1
corretto,1
ampliato,1
ridurre,1
querela,1
eversio,1
dæmonum,1
corporibvs,1
oppressis,1
cùm,1
diuorum,1
tum,1
aliorum,1
auctorum,1
potentissimos,1
efficaces,1
malignos,1
spiritus,1
propulsandos,1
maleficia,1
energumenis,1
pellenda,1
continens,1
exorcimos,1
mistico,1
tempio,1
rosario,1
fiori,1
gloriosa,1
ghirlande,1
beati,1
cosimo,1
bartoli,1
misvrare,1
superficie,1
piante,1
prouincie,1
prospettiue,1
terrene,1
